buy_date,code,name,today_rise,buy_price,score,ratio,market_condition,next_rise,next_open,next_close,rebound_score,rebound_reason
2026-03-19,4046,大阪ソーダ,-5.02,1815.0,1.44,1.48,PANIC,-0.58,1735.0,1725.0,8.0,RSI極度売られ過ぎ(7) / 出来高やや増(1.6倍) / MA25大幅下離れ(-18.5%)
2026-03-23,5162,朝日ラバー,-22.64,820.0,5.34,5.02,PANIC,6.39,830.0,883.0,3.0,出来高急増(69.6倍)売り枯れ示唆
2026-03-23,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,-12.24,172.0,0.75,1.1,PANIC,-1.14,175.0,173.0,8.0,RSI売られ過ぎ(21) / 出来高急増(29.1倍)売り枯れ示唆 / MA25下離れ(-13.0%)
2026-03-23,1443,技研ホールディングス,-11.68,295.0,-0.6,0.46,PANIC,2.01,299.0,305.0,7.0,RSIやや低め(34) / 出来高急増(16.6倍)売り枯れ示唆 / MA25下離れ(-10.1%)
2026-03-23,9342,スマサポ,-11.65,910.0,1.95,0.09,PANIC,3.46,895.0,926.0,10.0,RSI極度売られ過ぎ(3) / 出来高急増(38.3倍)売り枯れ示唆 / MA25大幅下離れ(-26.0%)
2026-03-23,4427,ＥｄｕＬａｂ,-10.96,195.0,10.0,16.36,PANIC,18.93,206.0,245.0,5.0,RSI中立(40) / 出来高急増(3.3倍)売り枯れ示唆 / MA25やや下離れ(-9.6%)
2026-03-23,6330,東洋エンジニアリング,-10.74,2910.0,1.45,1.31,PANIC,-15.48,2985.0,2523.0,4.0,RSI中立(44) / MA25大幅下離れ(-19.0%)
2026-03-23,6433,ヒーハイスト,-10.46,1412.0,2.06,0.99,PANIC,-4.89,1512.0,1438.0,5.0,RSIやや低め(36) / MA25大幅下離れ(-20.9%)
2026-03-23,7946,光陽社,-10.44,815.0,8.19,6.58,PANIC,-8.28,725.0,665.0,10.0,RSI極度売られ過ぎ(20) / 出来高急増(11.1倍)売り枯れ示唆 / MA25大幅下離れ(-57.3%)
2026-03-23,5587,インバウンドプラットフォーム,-9.43,634.0,-2.52,0.28,PANIC,4.22,664.0,692.0,10.0,RSI極度売られ過ぎ(14) / 出来高急増(3.6倍)売り枯れ示唆 / MA25大幅下離れ(-24.7%)
2026-03-23,336A,ダイナミックマッププラットフォーム,-8.54,600.0,-0.99,0.47,PANIC,-0.32,624.0,622.0,4.0,RSIやや低め(31) / MA25下離れ(-14.8%)
2026-03-23,218A,Ｌｉｂｅｒａｗａｒｅ,-7.96,1318.0,-1.54,0.59,PANIC,-1.49,1405.0,1384.0,3.0,RSI中立(45) / MA25下離れ(-10.3%)
